size,type,time,cpu,iterations
32,1,796,796,866
32,1,809,809,866
32,1,834,834,866
32,1,819,819,866
32,1,913,913,866
32,1,798,798,866
32,1,805,805,866
32,1,810,810,866
32,1,803,803,866
32,1,822,822,866
32,1,829,829,866
32,1,828,827,866
32,1,810,810,866
32,1,843,843,866
32,1,828,828,866
32,1,830,829,866
32,1,822,822,866
32,1,824,824,866
32,1,834,834,866
64,1,2257,2257,311
64,1,2240,2240,311
64,1,2310,2310,311
64,1,2204,2204,311
64,1,2229,2228,311
64,1,2190,2190,311
64,1,2211,2211,311
64,1,2270,2270,311
64,1,2227,2227,311
64,1,2217,2216,311
64,1,2214,2214,311
64,1,2236,2236,311
64,1,2354,2353,311
64,1,2216,2215,311
64,1,2195,2195,311
64,1,2232,2232,311
64,1,2397,2397,311
64,1,2303,2303,311
64,1,2284,2284,311
64,1,2236,2236,311
128,1,7290,7290,94
128,1,7276,7277,94
128,1,7722,7722,94
128,1,7563,7563,94
128,1,7649,7649,94
128,1,7601,7599,94
128,1,7228,7227,94
128,1,7566,7566,94
128,1,7446,7446,94
128,1,7469,7468,94
128,1,8212,8211,94
128,1,7572,7572,94
128,1,7847,7846,94
128,1,7265,7265,94
128,1,7203,7202,94
128,1,7256,7256,94
128,1,7208,7208,94
128,1,7423,7423,94
128,1,7406,7406,94
128,1,7310,7309,94
256,1,26610,26610,27
256,1,26909,26908,27
256,1,32169,32166,27
256,1,26922,26921,27
256,1,26982,26980,27
256,1,27479,27475,27
256,1,28205,28204,27
256,1,26536,26533,27
256,1,26308,26308,27
256,1,26435,26432,27
256,1,26517,26517,27
256,1,27002,27002,27
256,1,26496,26492,27
256,1,27922,27921,27
256,1,29331,29330,27
256,1,27662,27661,27
256,1,27675,27674,27
256,1,28177,28176,27
256,1,28599,28596,27
256,1,26970,26970,27
512,1,106013,106011,7
512,1,103430,103417,7
512,1,103794,103791,7
512,1,104116,104104,7
512,1,104019,104016,7
512,1,103162,103152,7
512,1,104304,104292,7
512,1,112326,112323,7
512,1,107296,107294,7
512,1,105114,105101,7
512,1,104151,104146,7
512,1,105481,105478,7
512,1,104976,104974,7
512,1,104657,104655,7
512,1,108372,108359,7
512,1,106428,106425,7
512,1,106971,106968,7
512,1,103293,103280,7
512,1,104011,104009,7
512,1,102812,102800,7
1024,1,425469,425451,2
1024,1,419460,419414,2
1024,1,421182,421161,2
1024,1,427291,427264,2
1024,1,420768,420725,2
1024,1,426096,426068,2
1024,1,420160,420114,2
1024,1,418075,418063,2
1024,1,421585,421570,2
1024,1,422043,421990,2
1024,1,428917,428897,2
1024,1,434199,434156,2
1024,1,432394,432383,2
1024,1,428394,428383,2
1024,1,447040,446992,2
