size,type,time,cpu,iterations
16,1,876,875,776
16,1,868,868,776
32,1,1854,1854,390
32,1,1793,1793,390
32,1,1806,1806,390
32,1,1790,1790,390
32,1,1792,1792,390
32,1,1805,1805,390
32,1,1791,1790,390
32,1,1811,1811,390
32,1,1818,1818,390
32,1,1810,1810,390
32,1,1801,1801,390
32,1,1817,1817,390
32,1,1807,1807,390
32,1,1813,1813,390
32,1,1824,1824,390
32,1,1975,1974,390
32,1,1952,1952,390
32,1,1854,1854,390
32,1,1800,1800,390
32,1,1805,1805,390
64,1,4289,4289,159
64,1,4291,4291,159
64,1,4304,4303,159
64,1,4284,4284,159
64,1,4247,4247,159
64,1,4243,4243,159
64,1,4238,4238,159
64,1,4270,4270,159
64,1,4282,4282,159
64,1,4275,4275,159
64,1,4251,4250,159
64,1,4296,4296,159
64,1,4263,4263,159
64,1,4285,4285,159
64,1,4263,4263,159
64,1,4243,4243,159
64,1,4335,4335,159
64,1,4254,4254,159
64,1,4275,4275,159
64,1,4250,4250,159
128,1,12075,12075,60
128,1,11987,11987,60
128,1,11946,11946,60
128,1,12385,12380,60
128,1,12766,12765,60
128,1,11808,11808,60
128,1,12076,12076,60
128,1,11935,11934,60
128,1,11968,11967,60
128,1,11940,11939,60
128,1,11979,11979,60
128,1,11894,11894,60
128,1,11922,11922,60
128,1,11930,11930,60
128,1,11897,11897,60
128,1,12192,12191,60
128,1,12002,12002,60
128,1,12010,12010,60
128,1,11925,11925,60
128,1,12729,12729,60
256,1,39293,39292,18
256,1,39262,39261,18
256,1,39083,39082,18
256,1,41912,41911,18
256,1,42066,42065,18
256,1,39484,39483,18
256,1,40235,40234,18
256,1,40956,40955,18
256,1,40270,40269,18
256,1,40265,40264,18
256,1,40022,40022,18
256,1,39527,39527,18
256,1,39898,39896,18
256,1,39730,39729,18
256,1,40674,40673,18
256,1,40520,40519,18
256,1,39956,39956,18
256,1,40701,40700,18
256,1,41114,41112,18
256,1,40060,40059,18
512,1,148047,148043,5
512,1,147275,147267,5
512,1,149225,149221,5
512,1,150014,150010,5
512,1,149335,149329,5
512,1,147496,147493,5
512,1,148358,148355,5
512,1,147807,147803,5
512,1,147057,147053,5
512,1,144475,144472,5
512,1,144423,144420,5
512,1,145989,145985,5
512,1,145153,145149,5
512,1,146909,146905,5
512,1,148156,148153,5
512,1,144539,144530,5
512,1,145945,145941,5
512,1,149684,149681,5
512,1,145887,145883,5
512,1,148298,148295,5
1024,1,578403,578390,1
1024,1,582220,582205,1
1024,1,586342,586328,1
1024,1,620062,620046,1
1024,1,588334,588319,1
1024,1,581142,581129,1
1024,1,576620,576606,1
1024,1,576579,576564,1
1024,1,577320,577305,1
1024,1,575981,575968,1
1024,1,588834,588820,1
1024,1,573311,573297,1
1024,1,575673,575660,1
1024,1,583059,583043,1
1024,1,580405,580389,1
1024,1,580040,580014,1
1024,1,589666,589651,1
1024,1,580272,580229,1
1024,1,569957,569942,1
1024,1,568951,568936,1
1536,1,1321096,1321065,1
1536,1,1291130,1291087,1
1536,1,1290140,1290111,1
1536,1,1285505,1285460,1
1536,1,1281046,1281015,1
1536,1,1282448,1282420,1
1536,1,1289296,1289250,1
1536,1,1287656,1287626,1
1536,1,1297985,1297928,1
1536,1,1304546,1304515,1
1536,1,1278602,1278573,1
1536,1,1309357,1309326,1
1536,1,1298729,1298698,1
1536,1,1302060,1302014,1
1536,1,1333458,1333427,1
1536,1,1302631,1302581,1
1536,1,1307694,1307662,1
1536,1,1302325,1302295,1
1536,1,1299423,1299376,1
1536,1,1308408,1308376,1
2048,1,2329498,2329407,1
2048,1,2328771,2328694,1
2048,1,2320978,2320922,1
2048,1,2326772,2326700,1
2048,1,2305142,2305071,1
2048,1,2313291,2313238,1
2048,1,2317279,2317225,1
2048,1,2312168,2312079,1
2048,1,2309270,2309200,1
2048,1,2320027,2319973,1
2048,1,2318840,2318769,1
2048,1,2269929,2269862,1
2048,1,2262015,2261949,1
2048,1,2307679,2307602,1
2048,1,2271725,2271651,1
2048,1,2285123,2285061,1
2048,1,2285140,2285068,1
2048,1,2271805,2271739,1
2048,1,2369708,2369654,1
2048,1,2306368,2306316,1
8,2,527,527,1309
8,2,545,545,1309
8,2,570,570,1309
8,2,562,562,1309
8,2,536,536,1309
8,2,541,540,1309
8,2,547,546,1309
8,2,568,567,1309
8,2,556,556,1309
8,2,531,531,1309
8,2,529,528,1309
8,2,525,525,1309
8,2,523,523,1309
8,2,526,526,1309
8,2,525,525,1309
8,2,521,520,1309
8,2,521,521,1309
8,2,527,527,1309
8,2,523,523,1309
8,2,524,524,1309
16,2,952,952,739
16,2,1015,1014,739
16,2,947,947,739
16,2,949,949,739
16,2,969,969,739
16,2,942,942,739
16,2,944,944,739
16,2,941,940,739
16,2,952,952,739
16,2,947,947,739
16,2,960,960,739
16,2,946,946,739
16,2,947,947,739
16,2,949,948,739
16,2,951,951,739
16,2,955,955,739
16,2,952,952,739
16,2,946,946,739
16,2,955,955,739
16,2,949,949,739
32,2,2081,2080,342
32,2,2046,2046,342
32,2,2042,2042,342
32,2,2078,2077,342
32,2,2075,2075,342
32,2,2128,2128,342
32,2,2024,2024,342
32,2,2042,2042,342
32,2,2056,2055,342
32,2,2072,2071,342
32,2,2058,2058,342
32,2,2050,2050,342
32,2,2038,2038,342
32,2,2046,2045,342
32,2,2051,2050,342
32,2,2056,2056,342
32,2,2030,2030,342
32,2,2042,2041,342
32,2,2022,2022,342
32,2,2020,2020,342
64,2,5202,5202,134
64,2,5168,5168,134
64,2,5245,5245,134
64,2,5174,5174,134
64,2,5194,5194,134
64,2,5235,5234,134
64,2,5185,5185,134
64,2,5208,5208,134
64,2,5277,5277,134
64,2,5161,5161,134
64,2,5289,5288,134
64,2,5161,5161,134
64,2,5250,5250,134
64,2,5431,5430,134
64,2,5202,5202,134
64,2,5424,5424,134
64,2,5269,5269,134
64,2,5163,5163,134
64,2,5235,5234,134
64,2,5163,5163,134
128,2,15799,15798,45
128,2,15552,15552,45
128,2,16123,16123,45
128,2,15642,15642,45
128,2,15388,15388,45
128,2,15578,15577,45
128,2,15540,15539,45
128,2,15405,15405,45
128,2,15578,15578,45
128,2,15300,15300,45
128,2,15496,15495,45
128,2,15302,15301,45
128,2,15678,15678,45
128,2,15687,15687,45
128,2,15864,15864,45
128,2,15629,15629,45
128,2,15398,15397,45
128,2,15505,15505,45
128,2,15444,15444,45
128,2,15350,15349,45
256,2,53386,53385,13
256,2,53798,53797,13
256,2,53463,53461,13
256,2,53420,53419,13
256,2,54111,54110,13
256,2,53456,53455,13
256,2,53490,53488,13
256,2,53372,53371,13
256,2,53429,53428,13
256,2,55580,55577,13
256,2,54822,54820,13
256,2,54419,54417,13
256,2,53595,53594,13
256,2,54216,54215,13
256,2,57855,57853,13
256,2,54635,54631,13
256,2,54514,54513,13
256,2,53899,53897,13
256,2,53848,53847,13
256,2,54340,54338,13
512,2,196374,196370,4
512,2,197539,197534,4
512,2,195403,195396,4
512,2,194964,194960,4
512,2,194818,194814,4
512,2,195493,195482,4
512,2,193894,193889,4
512,2,195180,195175,4
512,2,195173,195167,4
512,2,196681,196673,4
512,2,196995,196990,4
512,2,195084,195079,4
512,2,196631,196627,4
512,2,196684,196678,4
512,2,196780,196776,4
512,2,198412,198407,4
512,2,198179,198171,4
512,2,198169,198164,4
512,2,196178,196173,4
512,2,196451,196447,4
1024,2,741864,741846,1
1024,2,740263,740245,1
1024,2,741985,741968,1
1024,2,739656,739638,1
1024,2,741644,741614,1
1024,2,747638,747619,1
1024,2,748445,748426,1
1024,2,742618,742601,1
1024,2,740387,740336,1
1024,2,746412,746394,1
1024,2,739481,739463,1
1024,2,745337,745319,1
1024,2,748984,748953,1
1024,2,746973,746939,1
1024,2,744136,744119,1
1024,2,745164,745145,1
1024,2,788803,788768,1
1024,2,748551,748530,1
1024,2,741770,741751,1
1024,2,743450,743420,1
1536,2,1654888,1654834,1
1536,2,1628839,1628803,1
1536,2,1622606,1622553,1
1536,2,1614686,1614649,1
1536,2,1648479,1648428,1
1536,2,1794842,1794801,1
1536,2,1632203,1632147,1
1536,2,1639641,1639604,1
1536,2,1638212,1638166,1
1536,2,1640812,1640773,1
1536,2,1649399,1649342,1
1536,2,1640840,1640803,1
1536,2,1652995,1652941,1
1536,2,1651064,1651027,1
1536,2,1661985,1661923,1
1536,2,1657246,1657207,1
1536,2,1701435,1701388,1
1536,2,1701399,1701361,1
1536,2,1637961,1637922,1
1536,2,1756330,1756289,1
2048,2,2885637,2885553,1
2048,2,2988651,2988549,1
2048,2,3030380,3030290,1
2048,2,2908971,2908895,1
2048,2,3026650,3026577,1
2048,2,3031335,3031232,1
2048,2,2865235,2865173,1
2048,2,2902608,2902545,1
2048,2,2985024,2984919,1
2048,2,2899841,2899750,1
2048,2,2896410,2896336,1
2048,2,2872420,2872347,1
2048,2,2869552,2869473,1
2048,2,2892493,2892410,1
2048,2,2867746,2867672,1
2048,2,2868576,2868478,1
2048,2,2907593,2907512,1
2048,2,2878276,2878203,1
2048,2,2844141,2844064,1
2048,2,2892710,2892646,1
